Jenjang;fakultas/sekolah;prodi;nama_mk;semester;deskripsi_mk;sumber_deskripsi;status_kepmen;kriteria_kepmen_match;keyword_match
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Teori dan Riset Manajemen Operasi dan Inovasi;Semester 1;Mempelajari teori dan riset manajemen operasi dan inovasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Teori dan Riset Manajemen Sumber Daya Manusia;Semester 1;Mempelajari teori dan riset manajemen SDM.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Teori dan Riset Manajemen Strategik;Semester 1;Mempelajari teori dan riset manajemen strategik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Metodologi Penelitian Bisnis Lanjutan;Semester 1;Mempelajari filosofi dan desain penelitian, perumusan masalah dan hipotesis, teknik sampling dan pengumpulan data, analisis data, serta etika penelitian.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Metode Analisis Data;Semester 2;Mempelajari metode analisis data kuantitatif.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Workshop Usulan Penelitian;Semester 2;Lokakarya penyusunan usulan penelitian.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Workshop Penulisan Ilmiah Berbahasa Inggris;Semester 2;Lokakarya penulisan ilmiah dalam bahasa Inggris.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Tesis;Semester 3;Penyusunan, pelaksanaan, dan pertanggungjawaban penelitian mandiri tingkat magister di bawah bimbingan dosen, diakhiri penulisan dan ujian tesis. Keterkaitan dengan kriteria Kepmen bergantung pada topik tesis tiap mahasiswa.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Manajemen Risiko;Konsentrasi;Mempelajari kerangka manajemen risiko perusahaan: identifikasi, penilaian, dan mitigasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Bunga Rampai Teori Manajemen Pengetahuan, Teknologi, dan Inovasi Kewirausahaan;Konsentrasi;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Seminar Manajemen Pengetahuan, Teknologi, dan Inovasi Kewirausahaan;Konsentrasi;Penyajian dan diskusi ilmiah atas proposal atau hasil penelitian mahasiswa untuk melatih kemampuan presentasi, argumentasi, dan penerimaan masukan akademik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Manajemen Perubahan;Konsentrasi;Mempelajari model dan strategi manajemen perubahan organisasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Manajemen (M.Sc.);Manajemen Lembaga dan Keuangan Syariah;Konsentrasi;Mempelajari manajemen lembaga keuangan syariah dan instrumen keuangannya.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Metode Penelitian Akuntasi Bisnis;Semester 1-3;Mempelajari filosofi dan desain penelitian, perumusan masalah dan hipotesis, teknik sampling dan pengumpulan data, analisis data, serta etika penelitian.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Analisis Data Penelitian;Semester 1-3;Mempelajari teknik analisis data kuantitatif penelitian.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Analitika Data untuk Penelitian Akuntansi;Semester 1-3;Mempelajari analitika data dalam riset akuntansi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Teori Akuntansi dan Penelitian Akuntansi;Semester 1-3;Mempelajari teori akuntansi dan paradigma riset akuntansi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Workshop Penulisan Publikasi;Semester 1-3;Lokakarya penulisan artikel publikasi ilmiah.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Sistem Informasi Akuntansi;Matrikulasi;Mempelajari siklus bisnis, pengendalian internal, dan sistem informasi akuntansi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FEB;Magister Sains Ilmu Akuntansi (M.Sc.);Sistem Pengendalian Manajemen;Matrikulasi;Mempelajari sistem pengendalian manajemen: pusat pertanggungjawaban, anggaran, dan pengukuran kinerja.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
