nama_normal,deskripsi,fakultas,program
Fisiologi Tumbuhan,"Mata kuliah Fisiologi
Tumbuhan membahas konsep-ko n sep fisiologi tumbuhan dalam hal rumah tangga ...",Fakultas Biologi,Program Sarjana Biologi
Processing Daging Unggas,"Video Pembelajaran-Nutrisi Daging Unggas Mata kuliah ""Processing Daging Unggas"" membahas berbagai ...",Fakultas Peternakan,
Filsafat Pendidikan,"SELAMAT DATANG DI KELAS FILSAFAT PENDIDIKAN Matakuliah Filsafat Pendidikan
diselenggarakan untuk ...",Fakultas Filsafat,
Fisika,"Topik-topik yang akan dipelajari : besaran, satuan, Kinematika, dinamika, sistem patikel,
getaran...",Fakultas Geografi,
Bahasa Arab Lisan II,"Mata kuliah wajib program
studi yang mengantar kan mahasiswa agar mampu menyimak dan berbicara de...",Fakultas Ilmu Budaya,
Penilaian Properti Pengantar,Selamat datang di mata kuliah Penilaian Properti Pengantar! Penilaian Properti adalah salah satu m...,Sekolah Vokasi,Sekolah Vokasi
Biostatistika,Mata kuliah Biostatistika merupakan matakuliah dasar yang berisi konsep statistika deskriptif dan...,Fakultas Biologi,Program Sarjana Biologi
"Biosphere Reserve of Komodo and Orangutan: Komodo, Bats, Macaque, and Orangutan",Summer Course by the Graduate School of Universitas Gadjah Mada in collaboration with One Health ...,Sekolah Pascasarjana,Sekolah Pascasarjana
Biologi Umum,Mata Kuliah BIOLOGI DASAR adalah mata kuliah wajib yang diberikan kepada mahasiswa Klaster Sains....,Fakultas Biologi,Program Sarjana Biologi
English for Biology Class C,The course is prepared for the first year undergraduate students at the Faculty of Biology. This ...,Fakultas Biologi,Program Sarjana Biologi
ENZIMOLOGI,"Matakuliah ini berisikan tentang
fungsi enzim di dalam maupun di luar sel, bahan penyusun enzim,...",Sekolah Pascasarjana,Sekolah Pascasarjana
Evolusi Reguler (1,"Evolusi mempelajari mengenai
perubahan karakter yang diturunkan pada suatu populasi biologi dari...",Fakultas Biologi,Program Sarjana Biologi
Fisiologi Hewan Terapan (4,Mata kuliah pilihan yang membahas tentang teori dan praktik untuk penelitian-penelitian di bidang...,Fakultas Biologi,Program Sarjana Biologi
PIE,"Introduction
 to Livestock Economics course counts as part of the academic requirements of
 the...",Fakultas Peternakan,
Fitopatologi 2020,"This course discusses the history and importance of plant diseases, the concept of plant diseases...",Fakultas Pertanian,
Workshop Elins ELD - TWS,Workshop Elins adalah kuliah dan praktek mengenai tata cara pembuatan PCB (printed Circuit Board)...,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Summer Course on Sustainable Tropical Agriculture 2025,Join Summer Course on Sustainable Tropical Agriculture 2025 : The Journey of Coffee from Seed to ...,Fakultas Pertanian,
Blockchain,"Matakuliah ini memberikan pengetahuan, pemahaman terkait konsep Bloakchain, Materi juga membahas ...",Fakultas Matematika dan Ilmu Pengetahuan Alam,
MATA KULIAH FISIOLOGI TUMBUHAN,Mata Kuliah Fisiologi Tumbuhan (BIB20901) merupakan mata kuliah wajib di Fakultas Biologi UGM. MK...,Fakultas Biologi,Program Sarjana Biologi
Ekologi Serangga 20231 - 3,"SKS : 2 – 1 Konsep ekologi, ekosistem, komunitas populasi, spesies, ras geografis. Karakteristik ...",Fakultas Biologi,Program Sarjana Biologi
Workshop Elins ELC - TWS,Workshop Elins adalah kuliah dan praktek mengenai tata cara pembuatan PCB (printed Circuit Board)...,Fakultas Matematika dan Ilmu Pengetahuan Alam,
Genetika Dasar,"Mata Kuliah ini mempelajari konsep dasar genetika, meliputi bahan genetik, ekspresi gen, struktur...",Fakultas Biologi,Program Sarjana Biologi
Agama Islam 2-2021,Mata Kuliah Agama Islam   II  merupakan mata kuliah yang terkait dengan keyakinan yang melandasi ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Dasar Hematologi- Hematopoiesis dan komponen sel darah,"Mata kuliah ini mempelajari konsep dasar hematologi yang meliputi proses hematopoiesis, struktur ...","Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Obstetri 3 - Reversible Contraception,Kursus ini memberikan pemahaman komprehensif mengenai berbagai metode kontrasepsi modern. Materi ...,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",
Perencanaan Pembangunan Permukiman (Elective,Mata kuliah pilihan Perencanaan Pembangunan Permukiman (2 sks) adalah mata kuliah yang ditawarkan...,Fakultas Teknik,
Metode Penelitian (MTK dan MTPPI,"This course equips students with the ability to design and develop a rigorous research proposal, ...",Fakultas Teknik,
Animal Production Systems (S2,Animal Production Systems course focuses on the understanding of the complexity of the systems in...,Fakultas Peternakan,
Financial statement analysis,"Dive
into the world of Financial Statement Analysis with this comprehensive
course designed to ...",Sekolah Vokasi,Sekolah Vokasi
Biologi dan Konservasi Satwa Liar - PEKERTI 2026,Mata kuliah Biologi dan Konservasi Satwa Liar memberikan pemahaman mengenai keanekaragaman satwa ...,Fakultas Kedokteran Hewan,
Parasitologi Hewan Eksotik dan Satwa Liar - PEKERTI 2026,Mata kuliah ini mempelajari berbagai parasit yang menginfeksi dan menginfestasi hewan eksotik dan...,Fakultas Kedokteran Hewan,
Veterinary Clinical Pathology - International Undergraduate Program,The Veterinary Clinical Pathology IUP course is a compulsory subject at the Faculty of Veterinary...,Fakultas Kedokteran Hewan,
Pelatihan Juru Sembelih Halal Berbasis Kompetensi SKKNI No. 196 Tahun 2014,Pelatihan bagi mahasiswa dan atau  masyarakat yang ingin memiliki kompetensi Juru Sembelih Halal ...,Fakultas Kedokteran Hewan,
KEPANITERAAN ILMU PENYAKIT MULUT 2026,"Kegiatan Kepaniteraan Oral Medicine atau Ilmu Penyakit Mulut meliputi
 pendidikan, pelatihan dan...",Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi
