nama_normal,fakultas,program,deskripsi,tahun,nama_topik,jumlah_topik,terkait_sustainability
Fisiologi Tumbuhan,Fakultas Biologi,Program Sarjana Biologi,"Mata kuliah Fisiologi
Tumbuhan membahas konsep-ko n sep fisiologi tumbuhan dalam hal rumah tangga ...",,,0,False
Processing Daging Unggas,Fakultas Peternakan,,"Video Pembelajaran-Nutrisi Daging Unggas Mata kuliah ""Processing Daging Unggas"" membahas berbagai ...",,,0,False
Filsafat Pendidikan,Fakultas Filsafat,,"SELAMAT DATANG DI KELAS FILSAFAT PENDIDIKAN Matakuliah Filsafat Pendidikan
diselenggarakan untuk ...",,,0,False
Fisika,Fakultas Geografi,,"Topik-topik yang akan dipelajari : besaran, satuan, Kinematika, dinamika, sistem patikel,
getaran...",,,0,False
Bahasa Arab Lisan II,Fakultas Ilmu Budaya,,"Mata kuliah wajib program
studi yang mengantar kan mahasiswa agar mampu menyimak dan berbicara de...",,,0,False
Penilaian Properti Pengantar,Sekolah Vokasi,Sekolah Vokasi,Selamat datang di mata kuliah Penilaian Properti Pengantar! Penilaian Properti adalah salah satu m...,,,0,False
Biostatistika,Fakultas Biologi,Program Sarjana Biologi,Mata kuliah Biostatistika merupakan matakuliah dasar yang berisi konsep statistika deskriptif dan...,,,0,False
"Biosphere Reserve of Komodo and Orangutan: Komodo, Bats, Macaque, and Orangutan",Sekolah Pascasarjana,Sekolah Pascasarjana,Summer Course by the Graduate School of Universitas Gadjah Mada in collaboration with One Health ...,,,0,False
Biologi Umum,Fakultas Biologi,Program Sarjana Biologi,Mata Kuliah BIOLOGI DASAR adalah mata kuliah wajib yang diberikan kepada mahasiswa Klaster Sains....,,,0,False
English for Biology Class C,Fakultas Biologi,Program Sarjana Biologi,The course is prepared for the first year undergraduate students at the Faculty of Biology. This ...,,,0,False
ENZIMOLOGI,Sekolah Pascasarjana,Sekolah Pascasarjana,"Matakuliah ini berisikan tentang
fungsi enzim di dalam maupun di luar sel, bahan penyusun enzim,...",,,0,False
Evolusi Reguler (1,Fakultas Biologi,Program Sarjana Biologi,"Evolusi mempelajari mengenai
perubahan karakter yang diturunkan pada suatu populasi biologi dari...",,,0,False
Fisiologi Hewan Terapan (4,Fakultas Biologi,Program Sarjana Biologi,Mata kuliah pilihan yang membahas tentang teori dan praktik untuk penelitian-penelitian di bidang...,,,0,False
PIE,Fakultas Peternakan,,"Introduction
 to Livestock Economics course counts as part of the academic requirements of
 the...",,,0,False
Fitopatologi 2020,Fakultas Pertanian,,"This course discusses the history and importance of plant diseases, the concept of plant diseases...",2020.0,,0,False
Workshop Elins ELD - TWS,Fakultas Matematika dan Ilmu Pengetahuan Alam,,Workshop Elins adalah kuliah dan praktek mengenai tata cara pembuatan PCB (printed Circuit Board)...,,,0,False
Summer Course on Sustainable Tropical Agriculture 2025,Fakultas Pertanian,,Join Summer Course on Sustainable Tropical Agriculture 2025 : The Journey of Coffee from Seed to ...,2025.0,,0,False
Blockchain,Fakultas Matematika dan Ilmu Pengetahuan Alam,,"Matakuliah ini memberikan pengetahuan, pemahaman terkait konsep Bloakchain, Materi juga membahas ...",,,0,False
MATA KULIAH FISIOLOGI TUMBUHAN,Fakultas Biologi,Program Sarjana Biologi,Mata Kuliah Fisiologi Tumbuhan (BIB20901) merupakan mata kuliah wajib di Fakultas Biologi UGM. MK...,,,0,False
Ekologi Serangga 20231 - 3,Fakultas Biologi,Program Sarjana Biologi,"SKS : 2 – 1 Konsep ekologi, ekosistem, komunitas populasi, spesies, ras geografis. Karakteristik ...",2023.0,Keanekaragaman Hayati,1,True
Workshop Elins ELC - TWS,Fakultas Matematika dan Ilmu Pengetahuan Alam,,Workshop Elins adalah kuliah dan praktek mengenai tata cara pembuatan PCB (printed Circuit Board)...,,,0,False
Genetika Dasar,Fakultas Biologi,Program Sarjana Biologi,"Mata Kuliah ini mempelajari konsep dasar genetika, meliputi bahan genetik, ekspresi gen, struktur...",,,0,False
Agama Islam 2-2021,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Mata Kuliah Agama Islam   II  merupakan mata kuliah yang terkait dengan keyakinan yang melandasi ...,2021.0,,0,False
Dasar Hematologi- Hematopoiesis dan komponen sel darah,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,"Mata kuliah ini mempelajari konsep dasar hematologi yang meliputi proses hematopoiesis, struktur ...",,,0,False
Obstetri 3 - Reversible Contraception,"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",,Kursus ini memberikan pemahaman komprehensif mengenai berbagai metode kontrasepsi modern. Materi ...,,,0,False
Perencanaan Pembangunan Permukiman (Elective,Fakultas Teknik,,Mata kuliah pilihan Perencanaan Pembangunan Permukiman (2 sks) adalah mata kuliah yang ditawarkan...,,,0,False
Metode Penelitian (MTK dan MTPPI,Fakultas Teknik,,"This course equips students with the ability to design and develop a rigorous research proposal, ...",,,0,False
Animal Production Systems (S2,Fakultas Peternakan,,Animal Production Systems course focuses on the understanding of the complexity of the systems in...,,,0,False
Financial statement analysis,Sekolah Vokasi,Sekolah Vokasi,"Dive
into the world of Financial Statement Analysis with this comprehensive
course designed to ...",,,0,False
Biologi dan Konservasi Satwa Liar - PEKERTI 2026,Fakultas Kedokteran Hewan,,Mata kuliah Biologi dan Konservasi Satwa Liar memberikan pemahaman mengenai keanekaragaman satwa ...,2026.0,Konservasi Lingkungan; Keanekaragaman Hayati,2,True
Parasitologi Hewan Eksotik dan Satwa Liar - PEKERTI 2026,Fakultas Kedokteran Hewan,,Mata kuliah ini mempelajari berbagai parasit yang menginfeksi dan menginfestasi hewan eksotik dan...,2026.0,Keanekaragaman Hayati,1,True
Veterinary Clinical Pathology - International Undergraduate Program,Fakultas Kedokteran Hewan,,The Veterinary Clinical Pathology IUP course is a compulsory subject at the Faculty of Veterinary...,,,0,False
Pelatihan Juru Sembelih Halal Berbasis Kompetensi SKKNI No. 196 Tahun 2014,Fakultas Kedokteran Hewan,,Pelatihan bagi mahasiswa dan atau  masyarakat yang ingin memiliki kompetensi Juru Sembelih Halal ...,2014.0,,0,False
KEPANITERAAN ILMU PENYAKIT MULUT 2026,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,"Kegiatan Kepaniteraan Oral Medicine atau Ilmu Penyakit Mulut meliputi
 pendidikan, pelatihan dan...",2026.0,,0,False
Dasar - Dasar Terapi Bedah Periodontal,Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia,Bedah Dasar Periodonsia merupakan salah satu mata kuliah di program studi pendidikan dokter gigi ...,,,0,False
Kepaniteraan Periodonsia Klinik FKG UGM,Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,"Mata
kuliah periodonsia klinik merupakah Mata Kuliah wajib di program studi profesi
dokter gigi...",,,0,False
The 1st Gadjah Mada Veterinary Medicine International Summer Course: GUARDIANS OF FOREST WILDLIFE,Fakultas Kedokteran Hewan,,"The 1st Gadjah Mada Veterinary Medicine International Summer Course, titled “Guardians of Forest ...",,Keanekaragaman Hayati,1,True
Bahasa Ibrani,Fakultas Ilmu Budaya,,"Mata kuliah
pilihan program studi yang bertujuan untuk memberikan pengetahuan menyangkut
bahasa...",,,0,False
IUPiCs - Human and Cultural Communications,Fakultas Ilmu Sosial dan Politik,Departemen Ilmu Komunikasi (DIKOM) - IUP,This course is one of the basic courses in the study program. This course aims to equip students ...,,,0,False
STRUKTUR DAN PERKEMBANGAN HEWAN,Fakultas Biologi,Program Sarjana Biologi,"Mata kuliah Struktur dan Perkembangan Hewan memberikan pemahaman tentang pola dan simetri tubuh, ...",,,0,False
PRAKTIKUM BIOLOGI UMUM,Fakultas Biologi,Program Sarjana Biologi,Praktikum Biologi Umum merupakan mata kuliah wajib yang memiliki bobot 1 SKS. Praktikum ini wajib...,,,0,False
Hukum Ekonomi Internasional,Fakultas Hukum,International Undergraduate Program,"Mata Kuliah Hukum Ekonomi Internasional diajarkan kepada mahasiswa
fakultas hukum program Strata...",,,0,False
Mikrobiologi Industri (6,Fakultas Biologi,Program Sarjana Biologi,"Mikrobiologi Industri adalah mata kuliah pilihan
yang mempelajari prinsip dasar-dasar fermentasi...",,,0,False
GEL 3210 Pengelolaan DAS,Fakultas Geografi,,Matakuliah Pengelolaan DAS (GEL 3210) merupakan matakuliah pilihan bagi mahasiswa semester lanjut...,,,0,False
Ujian Kenaikan Tingkat Spesialis Penyakit Mulut,Fakultas Kedokteran Gigi,Program Spesialis Penyakit Mulut,Course ini merupakan course yang dibuat untuk mempersiapkan kenaikan tingkat para residen Program...,,,0,False
