fakultas,total_matkul,matkul_sustainability,persen
Fakultas Kehutanan,17,10,58.8
Fakultas Biologi,78,4,5.1
Fakultas Kedokteran Hewan,18,4,22.2
Fakultas Geografi,20,2,10.0
Fakultas Matematika dan Ilmu Pengetahuan Alam,20,2,10.0
Fakultas Pertanian,20,1,5.0
Fakultas Ekonomika dan Bisnis,1,0,0.0
Fakultas Farmasi,20,0,0.0
Fakultas Filsafat,20,0,0.0
Fakultas Ilmu Budaya,20,0,0.0
Fakultas Ilmu Sosial dan Politik,1,0,0.0
Fakultas Hukum,12,0,0.0
"Fakultas Kedokteran, Kesehatan Masyarakat dan Keperawatan",20,0,0.0
Fakultas Kedokteran Gigi,16,0,0.0
Fakultas Peternakan,18,0,0.0
Fakultas Psikologi,1,0,0.0
Fakultas Teknik,20,0,0.0
Fakultas Teknologi Pertanian,20,0,0.0
Sekolah Pascasarjana,20,0,0.0
Sekolah Vokasi,20,0,0.0
