fakultas,program,total_matkul,matkul_sustainability,persen
Fakultas Biologi,Program Sarjana Biologi,52,3,5.8
Fakultas Biologi,Program Magister Biologi,14,1,7.1
Fakultas Biologi,IUP Biology,12,0,0.0
Fakultas Ekonomika dan Bisnis,S1 IUP - Semester Gasal 2026/2027,1,0,0.0
Fakultas Hukum,International Undergraduate Program,12,0,0.0
Fakultas Ilmu Sosial dan Politik,Departemen Ilmu Komunikasi (DIKOM) - IUP,1,0,0.0
Fakultas Kedokteran Gigi,Program Profesi Kedokteran Gigi,8,0,0.0
Fakultas Kedokteran Gigi,Program Spesialis Ortodonti,1,0,0.0
Fakultas Kedokteran Gigi,Program Spesialis Penyakit Mulut,2,0,0.0
Fakultas Kedokteran Gigi,Program Studi Spesialis Periodonsia,5,0,0.0
Fakultas Psikologi,Continuing Education Program (CEP),1,0,0.0
Sekolah Pascasarjana,Sekolah Pascasarjana,20,0,0.0
Sekolah Vokasi,Sekolah Vokasi,20,0,0.0
